Date,GDP,Unemployment_Rate,Inflation_Rate,Interest_Rate
1999-10-01,9900.169,4.1,2.19,5.2
1999-11-01,16068.805,4.1,2.19,5.42
1999-12-01,16068.805,4.0,2.19,5.3
2000-01-01,10002.179,4.0,2.19,5.45
2000-02-01,16068.805,4.1,2.19,5.73
2000-03-01,16068.805,4.0,2.19,5.85
2000-04-01,10247.72,3.8,2.19,6.02
2000-05-01,16068.805,4.0,2.19,6.27
2000-06-01,16068.805,4.0,2.19,6.53
2000-07-01,10318.165,4.0,2.19,6.54
2000-08-01,16068.805,4.1,2.19,6.5
2000-09-01,16068.805,3.9,2.19,6.52
2000-10-01,10435.744,3.9,2.19,6.51
2000-11-01,16068.805,3.9,2.19,6.51
2000-12-01,16068.805,3.9,2.19,6.4
2001-01-01,10470.231,4.2,2.19,5.98
2001-02-01,16068.805,4.2,2.19,5.49
2001-03-01,16068.805,4.3,2.19,5.31
2001-04-01,10599.0,4.4,2.19,4.8
2001-05-01,16068.805,4.3,2.19,4.21
2001-06-01,16068.805,4.5,2.19,3.97
2001-07-01,10598.02,4.6,2.19,3.77
2001-08-01,16068.805,4.9,2.19,3.65
2001-09-01,16068.805,5.0,2.19,3.07
2001-10-01,10660.465,5.3,2.19,2.49
2001-11-01,16068.805,5.5,2.19,2.09
2001-12-01,16068.805,5.7,2.19,1.82
2002-01-01,10783.5,5.7,2.19,1.73
2002-02-01,16068.805,5.7,2.19,1.74
2002-03-01,16068.805,5.7,2.19,1.73
2002-04-01,10887.46,5.9,2.19,1.75
2002-05-01,16068.805,5.8,2.19,1.75
2002-06-01,16068.805,5.8,2.19,1.75
2002-07-01,10984.04,5.8,2.19,1.73
2002-08-01,16068.805,5.7,2.19,1.74
2002-09-01,16068.805,5.7,2.19,1.75
2002-10-01,11061.433,5.7,2.19,1.75
2002-11-01,16068.805,5.9,2.19,1.34
2002-12-01,16068.805,6.0,2.19,1.24
2003-01-01,11174.129,5.8,2.19,1.24
2003-01-02,16068.805,5.1,1.64,1.21
2003-01-03,16068.805,5.1,1.62,1.21
2003-01-06,16068.805,5.1,1.63,1.21
2003-01-07,16068.805,5.1,1.62,1.21
2003-01-08,16068.805,5.1,1.71,1.21
2003-01-09,16068.805,5.1,1.78,1.21
2003-01-10,16068.805,5.1,1.75,1.21
2003-01-13,16068.805,5.1,1.77,1.21
2003-01-14,16068.805,5.1,1.76,1.21
2003-01-15,16068.805,5.1,1.8,1.21
2003-01-16,16068.805,5.1,1.79,1.21
2003-01-17,16068.805,5.1,1.8,1.21
2003-01-20,16068.805,5.1,2.19,1.21
2003-01-21,16068.805,5.1,1.78,1.21
2003-01-22,16068.805,5.1,1.72,1.21
2003-01-23,16068.805,5.1,1.78,1.21
2003-01-24,16068.805,5.1,1.8,1.21
2003-01-27,16068.805,5.1,1.82,1.21
2003-01-28,16068.805,5.1,1.81,1.21
2003-01-29,16068.805,5.1,1.85,1.21
2003-01-30,16068.805,5.1,1.8,1.21
2003-01-31,16068.805,5.1,1.81,1.21
2003-02-01,16068.805,5.9,2.19,1.26
2003-02-03,16068.805,5.1,1.81,1.21
2003-02-04,16068.805,5.1,1.84,1.21
2003-02-05,16068.805,5.1,1.9,1.21
2003-02-06,16068.805,5.1,1.88,1.21
2003-02-07,16068.805,5.1,1.89,1.21
2003-02-10,16068.805,5.1,1.93,1.21
2003-02-11,16068.805,5.1,1.93,1.21
2003-02-12,16068.805,5.1,1.89,1.21
2003-02-13,16068.805,5.1,1.88,1.21
2003-02-14,16068.805,5.1,1.92,1.21
2003-02-17,16068.805,5.1,2.19,1.21
2003-02-18,16068.805,5.1,1.89,1.21
2003-02-19,16068.805,5.1,1.89,1.21
2003-02-20,16068.805,5.1,1.94,1.21
2003-02-21,16068.805,5.1,1.97,1.21
2003-02-24,16068.805,5.1,1.99,1.21
2003-02-25,16068.805,5.1,1.97,1.21
2003-02-26,16068.805,5.1,1.94,1.21
2003-02-27,16068.805,5.1,1.94,1.21
2003-02-28,16068.805,5.1,1.94,1.21
2003-03-01,16068.805,5.9,2.19,1.25
2003-03-03,16068.805,5.1,1.91,1.21
2003-03-04,16068.805,5.1,1.88,1.21
