,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NVDA241004C00050000,2024-09-27 14:41:42+00:00,50.0,71.3,70.8,71.8,-2.5999985,-3.518266,20,210,3.378907802734375,True,REGULAR,USD
1,NVDA241004C00055000,2024-09-27 19:03:09+00:00,55.0,65.39,65.8,67.05,2.290001,3.6291614,6,24,2.1093797265624996,True,REGULAR,USD
2,NVDA241004C00060000,2024-09-26 16:39:56+00:00,60.0,63.5,60.95,62.1,0.0,0.0,6,237,2.2968792578125,True,REGULAR,USD
3,NVDA241004C00065000,2024-09-27 18:54:02+00:00,65.0,55.35,55.8,57.1,3.949997,7.6848187,1,204,1.8281258593749998,True,REGULAR,USD
4,NVDA241004C00067000,2024-09-27 15:40:41+00:00,67.0,53.6,53.7,55.2,-3.9500008,-6.8635983,50,102,1.75000125,True,REGULAR,USD
5,NVDA241004C00068000,2024-09-25 16:16:51+00:00,68.0,55.52,52.95,53.95,0.0,0.0,480,825,1.7109389453125,True,REGULAR,USD
6,NVDA241004C00069000,2024-09-27 18:31:24+00:00,69.0,50.7,51.9,53.2,-3.0,-5.586592,2,557,1.92578162109375,True,REGULAR,USD
7,NVDA241004C00070000,2024-09-27 16:41:30+00:00,70.0,51.1,51.0,51.9,-2.1500015,-4.0375614,110,1572,1.6328143359374998,True,REGULAR,USD
8,NVDA241004C00071000,2024-09-27 16:21:11+00:00,71.0,49.25,50.0,51.2,4.0999985,9.080837,33,191,1.9218753906250001,True,REGULAR,USD
9,NVDA241004C00072000,2024-09-27 19:57:53+00:00,72.0,49.55,48.95,50.0,-2.75,-5.2581263,63,243,1.6328143359374998,True,REGULAR,USD
10,NVDA241004C00073000,2024-09-27 19:34:40+00:00,73.0,47.55,47.95,48.95,-2.6000023,-5.184451,76,323,1.5156274218749999,True,REGULAR,USD
11,NVDA241004C00074000,2024-09-27 19:57:19+00:00,74.0,47.55,46.95,48.0,-1.4500008,-2.9591854,119,208,1.5546897265624997,True,REGULAR,USD
12,NVDA241004C00075000,2024-09-27 17:11:58+00:00,75.0,45.65,46.0,46.95,-3.4799995,-7.0832477,224,341,1.5156274218749999,True,REGULAR,USD
13,NVDA241004C00076000,2024-09-27 16:10:42+00:00,76.0,43.65,44.95,46.05,-5.8999977,-11.90716,136,547,1.5390648046875,True,REGULAR,USD
14,NVDA241004C00077000,2024-09-27 19:52:49+00:00,77.0,44.1,43.7,45.2,-2.6000023,-5.5674567,67,511,1.3671906640625,True,REGULAR,USD
15,NVDA241004C00078000,2024-09-27 19:58:14+00:00,78.0,43.55,42.95,44.0,-1.1000023,-2.463611,198,195,1.40625296875,True,REGULAR,USD
16,NVDA241004C00079000,2024-09-27 15:24:32+00:00,79.0,41.97,41.95,43.0,-4.529999,-9.741933,144,336,1.3671906640625,True,REGULAR,USD
17,NVDA241004C00080000,2024-09-27 19:17:00+00:00,80.0,40.25,41.05,41.9,-3.8499985,-8.730155,128,1056,1.3320345898437496,True,REGULAR,USD
