,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NVDA241004P00050000,2024-09-27 19:58:17+00:00,50.0,0.01,0.0,0.01,0.0,0.0,18052.0,4759,2.0625048437499998,False,REGULAR,USD
1,NVDA241004P00055000,2024-09-27 19:59:52+00:00,55.0,0.01,0.0,0.01,0.0,0.0,10014.0,1165,1.8125009374999999,False,REGULAR,USD
2,NVDA241004P00060000,2024-09-27 19:31:24+00:00,60.0,0.01,0.01,0.02,0.0,0.0,6548.0,4797,1.8125009374999999,False,REGULAR,USD
3,NVDA241004P00065000,2024-09-27 19:57:21+00:00,65.0,0.02,0.0,0.03,0.01,100.0,8913.0,19247,1.609376953125,False,REGULAR,USD
4,NVDA241004P00067000,2024-09-27 19:50:47+00:00,67.0,0.03,0.02,0.03,0.02,200.0,8490.0,31260,1.625001875,False,REGULAR,USD
5,NVDA241004P00068000,2024-09-27 19:32:30+00:00,68.0,0.03,0.0,0.03,0.02,200.0,8351.0,13387,1.5000025,False,REGULAR,USD
6,NVDA241004P00069000,2024-09-27 19:58:51+00:00,69.0,0.03,0.0,0.03,0.02,200.0,6205.0,11475,1.46875265625,False,REGULAR,USD
7,NVDA241004P00070000,2024-09-27 19:53:46+00:00,70.0,0.03,0.02,0.04,0.02,200.0,4494.0,9378,1.5390648046875,False,REGULAR,USD
8,NVDA241004P00071000,2024-09-27 19:57:47+00:00,71.0,0.03,0.0,0.04,0.02,200.0,4309.0,3725,1.4375028125,False,REGULAR,USD
9,NVDA241004P00072000,2024-09-27 19:59:18+00:00,72.0,0.03,0.02,0.16,0.02,200.0,3571.0,732,1.671876640625,False,REGULAR,USD
10,NVDA241004P00073000,2024-09-27 19:43:19+00:00,73.0,0.03,0.0,0.14,0.02,200.0,6508.0,634,1.5781271093749998,False,REGULAR,USD
