ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1999-10-06,0.07326478884979248,-4.136887960529095,4.024133421474272,0.07326478884979248,0.07326478884979248,0.011974138797119982,0.011974138797119982,0.011974138797119982,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.006154743724865352,0.006154743724865352,0.006154743724865352,-0.08965131901819949,-0.08965131901819949,-0.08965131901819949,0.0,0.0,0.0,0.08523892764691246
1999-10-07,0.07333260907755629,-3.9307108295584654,4.346883661404103,0.07333260907755629,0.07333260907755629,0.003395786063358459,0.003395786063358459,0.003395786063358459,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.0018649627581618488,0.0018649627581618488,0.0018649627581618488,-0.0939398907852575,-0.0939398907852575,-0.0939398907852575,0.0,0.0,0.0,0.07672839514091474
1999-10-08,0.07340042930532008,-3.728132377448569,4.197603774470502,0.07340042930532008,0.07340042930532008,-0.0074892717835878695,-0.0074892717835878695,-0.0074892717835878695,0.0954707140904541,0.0954707140904541,0.0954707140904541,-0.003062227547242883,-0.003062227547242883,-0.003062227547242883,-0.09989775832679909,-0.09989775832679909,-0.09989775832679909,0.0,0.0,0.0,0.06591115752173221
1999-10-11,0.07360388998861149,-3.8964267417355485,3.886414134076119,0.07360388998861149,0.07360388998861149,-0.01394317688913531,-0.01394317688913531,-0.01394317688913531,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.016778483208115758,0.016778483208115758,0.016778483208115758,-0.12619237418770518,-0.12619237418770518,-0.12619237418770518,0.0,0.0,0.0,0.05966071309947618
1999-10-12,0.0736717102163753,-4.007398903451434,4.399671776838304,0.0736717102163753,0.0736717102163753,-0.03931198050239747,-0.03931198050239747,-0.03931198050239747,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.00213174904388897,0.00213174904388897,0.00213174904388897,-0.13691444363674052,-0.13691444363674052,-0.13691444363674052,0.0,0.0,0.0,0.03435972971397783
1999-10-13,0.0737395304441391,-4.007900944601433,3.760204621119685,0.0737395304441391,0.0737395304441391,-0.046430823349358205,-0.046430823349358205,-0.046430823349358205,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.006154743724873533,0.006154743724873533,0.006154743724873533,-0.1480562811646859,-0.1480562811646859,-0.1480562811646859,0.0,0.0,0.0,0.027308707094780893
1999-10-14,0.0738073506719029,-4.127354026406851,3.941273875409696,0.0738073506719029,0.0738073506719029,-0.061886028006843466,-0.061886028006843466,-0.061886028006843466,0.09547071409045411,0.09547071409045411,0.09547071409045411,0.0018649627581292262,0.0018649627581292262,0.0018649627581292262,-0.1592217048554268,-0.1592217048554268,-0.1592217048554268,0.0,0.0,0.0,0.011921322665059436
1999-10-15,0.0738751708996667,-4.097895748267365,3.9027304733818133,0.0738751708996667,0.0738751708996667,-0.07758070814530375,-0.07758070814530375,-0.07758070814530375,0.0954707140904541,0.0954707140904541,0.0954707140904541,-0.0030622275472407846,-0.0030622275472407846,-0.0030622275472407846,-0.16998919468851711,-0.16998919468851711,-0.16998919468851711,0.0,0.0,0.0,-0.0037055372456370472
1999-10-18,0.0740786315829581,-4.182436785671715,4.072248867316523,0.0740786315829581,0.0740786315829581,-0.08331366076587852,-0.08331366076587852,-0.08331366076587852,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.016778483208123855,0.016778483208123855,0.016778483208123855,-0.1955628580644565,-0.1955628580644565,-0.1955628580644565,0.0,0.0,0.0,-0.00923502918292042
1999-10-19,0.07414645181072192,-3.934656692539151,3.942181701737765,0.07414645181072192,0.07414645181072192,-0.10283938856285292,-0.10283938856285292,-0.10283938856285292,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.002131749043878059,0.002131749043878059,0.002131749043878059,-0.2004418516971851,-0.2004418516971851,-0.2004418516971851,0.0,0.0,0.0,-0.028692936752131
1999-10-20,0.07421427203848573,-4.006718319231674,3.8378850352673264,0.07421427203848573,0.07421427203848573,-0.10123553476927635,-0.10123553476927635,-0.10123553476927635,0.09547071409045411,0.09547071409045411,0.09547071409045411,0.006154743724881711,0.006154743724881711,0.006154743724881711,-0.20286099258461218,-0.20286099258461218,-0.20286099258461218,0.0,0.0,0.0,-0.027021262730790627
