Headline,VADER_Sentiment,TextBlob_Sentiment
"Nvidia Stock (NVDA) Is Still a Long-Term Winner, No Matter the Noise",0.4019,0.0
"Prediction: Apple's iPhone 16 Could Become a Runaway Hit, and Here Is 1 Stock to Buy Hand Over Fist Before That Happens",0.4939,0.0
"These Were the 5 Biggest Companies in 1989, and Here Are the 5 Biggest Companies Now",0.0,0.0
"If You'd Invested $1,000 in Nvidia Stock 5 Years Ago, Here's How Much You'd Have Today",0.0,0.2
"1 Artificial Intelligence (AI) Stock-Buyback Stock to Buy Hand Over Fist, and 1 to Avoid (for Now)",0.6249,-0.6
"Nvidia's buyers, Boeing's strike, Elon Musk and Bernie Sanders on Ozempic: Business news roundup",-0.128,0.0
Nvidia Is Still a Good Investment Prospect,0.6249,0.7
Prediction: This AI Stock Will Be the Next Company to Reach a Trillion-Dollar Market Cap,0.0258,0.0
"My Favorite ""Magnificent Seven"" Stocks to Buy Now (Hint: Nvidia's Not One)",0.7845,0.75
Why Meta Platforms Stock Just Hit an All-Time High and Could Be Headed Higher,0.0,0.20500000000000002
Why China stocks are now a buy for U.S. investors,0.0,0.0
2 Small-Cap Artificial Intelligence (AI) Stocks to Buy Right Now,0.4767,-0.15714285714285714
Will Nvidia Stock Drop as Much as Supermicro? 3 Points to Consider.,-0.2732,0.2
"Elon Musk vs. Kamala Harris, Nvidia's customers, Boeing's strike: The week's most popular stories",0.3804,0.55
1 Top Tech Stock to Buy Hand Over Fist Before TSMC's Spending Splurge Begins,0.6124,0.5
1 Spectacular Semiconductor Stock Down 21% You'll Wish You'd Bought on the Dip,0.4019,0.2222222222222222
What's happening with the AI trade?,0.0,0.0
Harbor Capital Appreciation Fund's Strategic Moves in Q3 2024: A Closer Look at NVIDIA Corp,0.5106,0.0
SMH vs. FTXL: Which Semiconductor ETF Is Better?,-0.0343,0.5
NVIDIA Corporation (NVDA) Partners with NetApp for AI Data Vision Solution; CEO Jensen Huang Nets $713M from Stock Sales,0.5106,0.0
Is Nvidia Still a Millionaire-Maker Stock?,0.0,0.0
"China urges local companies to stay away from Nvidia AI chips, according to reports",0.0,0.0
"How to play Nvidia, Core Scientific with options",0.34,0.0
"If You Bought 1 Share of Intel Stock at Its IPO, Here's How Many Shares You Would Own Now",0.5267,0.55
"Dow Jones, Small Caps Lead Stock Market But Nasdaq Closes Lower As Techs Drag (Live Coverage)",-0.631,-0.07121212121212121
Nvidia Has 'Two Glaring Holes' In Its Data Center Offering,0.0,-0.1
"Broadcom Edges Out Tesla In One Metric, Smashes It In Another",0.0,0.0
"Biotech Hangs On To Top Spot On This List, And It Even Outshines Nvidia",0.2023,0.5
Nvidia falls as Beijing discourages local companies from buying Nvidia chips - BBG,-0.4404,0.0
"Once Again, This AI Stock Puts Tesla's Mag 7 Card In Jeopardy",-0.4767,0.0
China Urges Local Companies to Stay Away From Nvidias Chips,0.0,0.0
"New PCE data, Costco earnings, Nvidia's growth: Market Domination",0.34,0.13636363636363635
Nvidias Huang Says Nuclear Power an Option to Feed Data Centers,0.0,0.0
